Source_File,Source_Row_Number,Record_ID,Year,Quarter,City,Area_Name,State,Zone,City_Tier,Population,Area_sq_km,EV_Registrations,Charging_Stations,Fast_Chargers,Office_Count,IT_Parks,Road_Length_km,Shopping_Malls,Parking_Lots,Metro_Stations,Bus_Stops,Hospitals
ev_infrastructure_exact_20000.csv,650,EVR-0000649,2024,Q1,Ahmedabad,,Gujarat,Central,Tier1,1590833,464,12627,102,23,595,2,120.1,14,234,6,1060,70
ev_infrastructure_exact_20000.csv,662,EVR-0000661,2024,Q1,Ahmedabad,,Gujarat,North,Tier1,1383333,464,10980,89,20,520,1,104.4,12,204,6,935,61
ev_infrastructure_exact_20000.csv,674,EVR-0000673,2024,Q1,Ahmedabad,,Gujarat,South,Tier1,1383333,464,10980,89,20,520,1,104.4,12,204,6,935,61
ev_infrastructure_exact_20000.csv,686,EVR-0000685,2024,Q1,Ahmedabad,,Gujarat,East,Tier1,1355667,464,10760,87,19,510,1,102.3,12,201,6,919,60
ev_infrastructure_exact_20000.csv,698,EVR-0000697,2024,Q1,Ahmedabad,,Gujarat,West,Tier1,1355667,464,10760,87,19,510,1,102.3,12,201,6,919,60
ev_infrastructure_exact_20000.csv,710,EVR-0000709,2024,Q1,Ahmedabad,,Gujarat,Industrial,Tier1,1452500,464,11529,93,21,545,1,109.6,12,212,6,977,64
ev_infrastructure_exact_20000.csv,194,EVR-0000193,2024,Q1,Bengaluru,,Karnataka,Core,Mega,2046875,741,37975,280,62,1041,4,199.1,27,412,68,1587,127
ev_infrastructure_exact_20000.csv,206,EVR-0000205,2024,Q1,Bengaluru,,Karnataka,Inner,Mega,1883125,741,34937,258,57,962,3,183.2,25,381,68,1471,117
ev_infrastructure_exact_20000.csv,218,EVR-0000217,2024,Q1,Bengaluru,,Karnataka,Outer,Mega,1555625,741,28861,213,47,803,3,151.3,21,318,68,1240,96
ev_infrastructure_exact_20000.csv,230,EVR-0000229,2024,Q1,Bengaluru,,Karnataka,North,Mega,1637500,741,30380,224,49,842,3,159.3,22,334,68,1298,101
ev_infrastructure_exact_20000.csv,242,EVR-0000241,2024,Q1,Bengaluru,,Karnataka,South,Mega,1637500,741,30380,224,49,842,3,159.3,22,334,68,1298,101
ev_infrastructure_exact_20000.csv,254,EVR-0000253,2024,Q1,Bengaluru,,Karnataka,East,Mega,1604750,741,29772,220,48,827,3,156.1,21,326,68,1275,99
ev_infrastructure_exact_20000.csv,266,EVR-0000265,2024,Q1,Bengaluru,,Karnataka,West,Mega,1604750,741,29772,220,48,827,3,156.1,21,326,68,1275,99
ev_infrastructure_exact_20000.csv,278,EVR-0000277,2024,Q1,Bengaluru,,Karnataka,Transit,Mega,1801250,741,33418,247,55,922,3,175.2,24,365,68,1413,112
ev_infrastructure_exact_20000.csv,1214,EVR-0001213,2024,Q1,Bhubaneswar,,Odisha,Core,Tier2,305000,186,1581,15,3,103,0,48.4,3,42,0,347,18
ev_infrastructure_exact_20000.csv,1226,EVR-0001225,2024,Q1,Bhubaneswar,,Odisha,Residential,Tier2,224480,186,1164,11,2,77,0,35.6,2,31,0,266,14
ev_infrastructure_exact_20000.csv,1238,EVR-0001237,2024,Q1,Bhubaneswar,,Odisha,Commercial,Tier2,273280,186,1417,14,3,93,0,43.3,3,39,0,315,17
ev_infrastructure_exact_20000.csv,1250,EVR-0001249,2024,Q1,Bhubaneswar,,Odisha,Transit,Tier2,268400,186,1391,13,3,91,0,42.6,3,38,0,310,16
ev_infrastructure_exact_20000.csv,1262,EVR-0001261,2024,Q1,Bhubaneswar,,Odisha,Peripheral,Tier2,214720,186,1113,11,2,74,0,34.0,2,30,0,256,13
ev_infrastructure_exact_20000.csv,1754,EVR-0001753,2024,Q1,Bikaner,,Rajasthan,Main,Tier3,121800,155,136,2,0,23,0,22.8,1,11,0,152,5
ev_infrastructure_exact_20000.csv,1766,EVR-0001765,2024,Q1,Bikaner,,Rajasthan,North,Tier3,116000,155,130,2,0,22,0,21.7,0,8,0,146,5
ev_infrastructure_exact_20000.csv,1778,EVR-0001777,2024,Q1,Bikaner,,Rajasthan,South,Tier3,116000,155,130,2,0,22,0,21.7,0,8,0,146,5
ev_infrastructure_exact_20000.csv,1790,EVR-0001789,2024,Q1,Bikaner,,Rajasthan,Market,Tier3,125280,155,140,2,0,24,0,23.4,1,11,0,156,5
ev_infrastructure_exact_20000.csv,1802,EVR-0001801,2024,Q1,Bikaner,,Rajasthan,PeriUrban,Tier3,97440,155,109,1,0,19,0,18.2,0,7,0,125,4
ev_infrastructure_exact_20000.csv,386,EVR-0000385,2024,Q1,Chennai,,Tamil Nadu,Core,Mega,1750000,426,21931,172,38,711,2,129.8,19,285,54,1187,100
ev_infrastructure_exact_20000.csv,398,EVR-0000397,2024,Q1,Chennai,,Tamil Nadu,Inner,Mega,1610000,426,20177,158,35,657,2,119.4,18,264,54,1103,92
ev_infrastructure_exact_20000.csv,410,EVR-0000409,2024,Q1,Chennai,,Tamil Nadu,Outer,Mega,1330000,426,16668,131,29,548,2,98.6,15,220,54,937,76
ev_infrastructure_exact_20000.csv,422,EVR-0000421,2024,Q1,Chennai,,Tamil Nadu,North,Mega,1400000,426,17545,137,30,575,2,103.8,15,229,54,979,80
ev_infrastructure_exact_20000.csv,434,EVR-0000433,2024,Q1,Chennai,,Tamil Nadu,South,Mega,1400000,426,17545,137,30,575,2,103.8,15,229,54,979,80
ev_infrastructure_exact_20000.csv,446,EVR-0000445,2024,Q1,Chennai,,Tamil Nadu,East,Mega,1372000,426,17194,135,30,564,2,101.8,15,226,54,962,79
ev_infrastructure_exact_20000.csv,458,EVR-0000457,2024,Q1,Chennai,,Tamil Nadu,West,Mega,1372000,426,17194,135,30,564,2,101.8,15,226,54,962,79
ev_infrastructure_exact_20000.csv,470,EVR-0000469,2024,Q1,Chennai,,Tamil Nadu,Transit,Mega,1540000,426,19300,151,33,629,2,114.2,17,252,54,1062,88
ev_infrastructure_exact_20000.csv,2,EVR-0000001,2024,Q1,Delhi,,Delhi,Core,Mega,3062500,1484,32703,279,62,1183,2,429.0,31,473,285,2960,175
ev_infrastructure_exact_20000.csv,14,EVR-0000013,2024,Q1,Delhi,,Delhi,Inner,Mega,2817500,1484,30087,257,57,1091,2,394.7,29,437,285,2737,161
ev_infrastructure_exact_20000.csv,26,EVR-0000025,2024,Q1,Delhi,,Delhi,Outer,Mega,2327500,1484,24854,212,47,906,2,326.0,24,363,285,2290,133
ev_infrastructure_exact_20000.csv,38,EVR-0000037,2024,Q1,Delhi,,Delhi,North,Mega,2450000,1484,26162,223,49,952,2,343.2,25,381,285,2402,140
ev_infrastructure_exact_20000.csv,50,EVR-0000049,2024,Q1,Delhi,,Delhi,South,Mega,2450000,1484,26162,223,49,952,2,343.2,25,381,285,2402,140
ev_infrastructure_exact_20000.csv,62,EVR-0000061,2024,Q1,Delhi,,Delhi,East,Mega,2401000,1484,25639,219,48,934,2,336.3,24,372,285,2357,137
ev_infrastructure_exact_20000.csv,74,EVR-0000073,2024,Q1,Delhi,,Delhi,West,Mega,2401000,1484,25639,219,48,934,2,336.3,24,372,285,2357,137
ev_infrastructure_exact_20000.csv,86,EVR-0000085,2024,Q1,Delhi,,Delhi,Transit,Mega,2695000,1484,28779,245,54,1044,2,377.5,27,417,285,2625,154
ev_infrastructure_exact_20000.csv,1874,EVR-0001873,2024,Q1,Dibrugarh,,Assam,Main,Tier3,44100,45,29,1,0,9,0,5.8,0,3,0,44,2
ev_infrastructure_exact_20000.csv,1886,EVR-0001885,2024,Q1,Dibrugarh,,Assam,North,Tier3,42000,45,28,1,0,9,0,5.5,0,3,0,42,2
ev_infrastructure_exact_20000.csv,1898,EVR-0001897,2024,Q1,Dibrugarh,,Assam,South,Tier3,42000,45,28,1,0,9,0,5.5,0,3,0,42,2
ev_infrastructure_exact_20000.csv,1910,EVR-0001909,2024,Q1,Dibrugarh,,Assam,Market,Tier3,45360,45,30,1,0,9,0,5.9,0,3,0,44,2
ev_infrastructure_exact_20000.csv,1922,EVR-0001921,2024,Q1,Dibrugarh,,Assam,PeriUrban,Tier3,35280,45,24,0,0,7,0,4.6,0,2,0,36,2
ev_infrastructure_exact_20000.csv,1634,EVR-0001633,2024,Q1,Guntur,,Andhra Pradesh,Main,Tier3,176400,168,220,3,1,34,0,27.2,1,14,0,190,7
ev_infrastructure_exact_20000.csv,1646,EVR-0001645,2024,Q1,Guntur,,Andhra Pradesh,North,Tier3,168000,168,210,3,1,33,0,25.9,1,14,0,182,7
ev_infrastructure_exact_20000.csv,1658,EVR-0001657,2024,Q1,Guntur,,Andhra Pradesh,South,Tier3,168000,168,210,3,1,33,0,25.9,1,14,0,182,7
ev_infrastructure_exact_20000.csv,1670,EVR-0001669,2024,Q1,Guntur,,Andhra Pradesh,Market,Tier3,181440,168,227,3,1,35,0,27.9,1,15,0,195,7
ev_infrastructure_exact_20000.csv,1682,EVR-0001681,2024,Q1,Guntur,,Andhra Pradesh,PeriUrban,Tier3,141120,168,176,2,0,27,0,21.7,1,12,0,155,6
ev_infrastructure_exact_20000.csv,1274,EVR-0001273,2024,Q1,Guwahati,,Assam,Core,Tier2,275000,219,985,10,2,88,0,52.6,3,37,0,353,14
ev_infrastructure_exact_20000.csv,1286,EVR-0001285,2024,Q1,Guwahati,,Assam,Residential,Tier2,202400,219,725,8,2,65,0,38.7,2,27,0,269,10
ev_infrastructure_exact_20000.csv,1298,EVR-0001297,2024,Q1,Guwahati,,Assam,Commercial,Tier2,246400,219,882,9,2,79,0,47.1,2,32,0,320,13
ev_infrastructure_exact_20000.csv,1310,EVR-0001309,2024,Q1,Guwahati,,Assam,Transit,Tier2,242000,219,867,9,2,77,0,46.3,2,31,0,315,13
ev_infrastructure_exact_20000.csv,1322,EVR-0001321,2024,Q1,Guwahati,,Assam,Peripheral,Tier2,193600,219,693,7,2,62,0,37.0,2,26,0,259,10
ev_infrastructure_exact_20000.csv,290,EVR-0000289,2024,Q1,Hyderabad,,Telangana,Core,Mega,1578125,650,26625,198,44,762,3,157.4,20,303,57,1264,91
ev_infrastructure_exact_20000.csv,302,EVR-0000301,2024,Q1,Hyderabad,,Telangana,Inner,Mega,1451875,650,24495,182,40,704,3,144.8,18,278,57,1174,84
ev_infrastructure_exact_20000.csv,314,EVR-0000313,2024,Q1,Hyderabad,,Telangana,Outer,Mega,1199375,650,20235,150,33,589,2,119.6,15,233,57,993,70
ev_infrastructure_exact_20000.csv,326,EVR-0000325,2024,Q1,Hyderabad,,Telangana,North,Mega,1262500,650,21300,158,35,618,2,125.9,16,245,57,1038,73
ev_infrastructure_exact_20000.csv,338,EVR-0000337,2024,Q1,Hyderabad,,Telangana,South,Mega,1262500,650,21300,158,35,618,2,125.9,16,245,57,1038,73
ev_infrastructure_exact_20000.csv,350,EVR-0000349,2024,Q1,Hyderabad,,Telangana,East,Mega,1237250,650,20874,155,34,606,2,123.4,16,241,57,1020,72
ev_infrastructure_exact_20000.csv,362,EVR-0000361,2024,Q1,Hyderabad,,Telangana,West,Mega,1237250,650,20874,155,34,606,2,123.4,16,241,57,1020,72
ev_infrastructure_exact_20000.csv,374,EVR-0000373,2024,Q1,Hyderabad,,Telangana,Transit,Mega,1388750,650,23430,174,38,676,3,138.5,17,267,57,1128,80
ev_infrastructure_exact_20000.csv,1070,EVR-0001069,2024,Q1,Indore,,Madhya Pradesh,Central,Tier1,536667,530,3317,31,7,207,1,111.7,5,82,28,734,31
ev_infrastructure_exact_20000.csv,1082,EVR-0001081,2024,Q1,Indore,,Madhya Pradesh,North,Tier1,466667,530,2884,27,6,181,0,97.2,5,73,28,648,27
ev_infrastructure_exact_20000.csv,1094,EVR-0001093,2024,Q1,Indore,,Madhya Pradesh,South,Tier1,466667,530,2884,27,6,181,0,97.2,5,73,28,648,27
ev_infrastructure_exact_20000.csv,1106,EVR-0001105,2024,Q1,Indore,,Madhya Pradesh,East,Tier1,457333,530,2826,26,6,178,0,95.2,4,70,28,636,27
ev_infrastructure_exact_20000.csv,1118,EVR-0001117,2024,Q1,Indore,,Madhya Pradesh,West,Tier1,457333,530,2826,26,6,178,0,95.2,4,70,28,636,27
ev_infrastructure_exact_20000.csv,1130,EVR-0001129,2024,Q1,Indore,,Madhya Pradesh,Industrial,Tier1,490000,530,3028,28,6,190,1,102.0,5,76,28,676,29
ev_infrastructure_exact_20000.csv,794,EVR-0000793,2024,Q1,Jaipur,,Rajasthan,Central,Tier1,805000,467,6379,55,12,285,1,96.7,9,118,11,740,44
ev_infrastructure_exact_20000.csv,806,EVR-0000805,2024,Q1,Jaipur,,Rajasthan,North,Tier1,700000,467,5547,48,11,249,1,84.1,8,104,11,654,38
ev_infrastructure_exact_20000.csv,818,EVR-0000817,2024,Q1,Jaipur,,Rajasthan,South,Tier1,700000,467,5547,48,11,249,1,84.1,8,104,11,654,38
ev_infrastructure_exact_20000.csv,830,EVR-0000829,2024,Q1,Jaipur,,Rajasthan,East,Tier1,686000,467,5436,47,10,244,1,82.4,7,99,11,643,38
ev_infrastructure_exact_20000.csv,842,EVR-0000841,2024,Q1,Jaipur,,Rajasthan,West,Tier1,686000,467,5436,47,10,244,1,82.4,7,99,11,643,38
ev_infrastructure_exact_20000.csv,854,EVR-0000853,2024,Q1,Jaipur,,Rajasthan,Industrial,Tier1,735000,467,5824,50,11,261,1,88.3,8,108,11,683,40
ev_infrastructure_exact_20000.csv,938,EVR-0000937,2024,Q1,Kanpur,,Uttar Pradesh,Central,Tier1,584583,403,4065,37,8,213,0,75.7,5,84,9,576,36
ev_infrastructure_exact_20000.csv,950,EVR-0000949,2024,Q1,Kanpur,,Uttar Pradesh,North,Tier1,508333,403,3535,32,7,185,0,65.8,4,72,9,510,31
